image_name,noise_type,noise_level,noise_param_name,noise_param_value,denoise_method,ssim_noisy,psnr_noisy,ssim_denoised,psnr_denoised,ssim_improvement,psnr_improvement,entropy_orig,entropy_noisy,entropy_denoised,noise_var_noisy,noise_std_noisy,noise_var_denoised,noise_std_denoised,pixel_abs_error,pixel_mse,improved_fraction,pixel_corr,max_pixel_error,p99_pixel_error
Pistachio_Image_Dataset_1_siirt 578,gaussian,little_noisy,sigma,0.01,frequency_domain,0.8562741665149107,42.14923114071369,0.8719101824704992,42.95441301042111,0.0156360159555885,0.8051818697074253,2.3289729668433696,3.5285657320798514,3.446440630948006,5.1485732206457215e-05,0.007175355894062483,4.112612034311214e-05,0.006412965019638899,0.004744851113091709,5.064757998354684e-05,0.42990555555555554,0.99983132454303,0.10892819950696517,0.021583373704272466
Pistachio_Image_Dataset_1_siirt 578,gaussian,little_noisy,sigma,0.01,anscombe_naive,0.8562741665149107,42.14923114071369,0.9002968945148208,46.31911492758017,0.04402272799991003,4.169883786866485,2.3289729668433696,3.5285657320798514,3.01177085079123,5.1485732206457215e-05,0.007175355894062483,1.504268688379163e-05,0.003878490284091431,0.0041318195218950715,2.3339336588914558e-05,0.41640185185185186,0.999943305373915,0.04976481651424747,0.01571158438601413
Pistachio_Image_Dataset_1_siirt 578,gaussian,little_noisy,sigma,0.01,anscombe_exact,0.8562741665149107,42.14923114071369,0.2139478596531622,11.940675452492293,-0.6423263068617485,-30.208555688221395,2.3289729668433696,3.5285657320798514,1.5259658570961228,5.1485732206457215e-05,0.007175355894062483,1.5042686883791628e-05,0.003878490284091431,0.25288039054732575,0.06396353461025174,0.0,0.9999433053739153,0.29976481651424747,0.26273593337846773
Pistachio_Image_Dataset_1_siirt 578,gaussian,little_noisy,sigma,0.01,median_clustering,0.8562741665149107,42.14923114071369,0.9713872935387347,41.26745930154452,0.11511312702382392,-0.8817718391691685,2.3289729668433696,3.5285657320798514,2.5575076917459625,5.1485732206457215e-05,0.007175355894062483,7.393757324553727e-05,0.008598696020068233,0.002952399014284562,7.468855717102512e-05,0.4536962962962963,0.9996753916651687,0.4312281878188026,0.035560119266329515
Pistachio_Image_Dataset_1_siirt 578,gaussian,little_noisy,sigma,0.01,log_gaussian,0.8562741665149107,42.14923114071369,0.979541464115572,33.1981186496295,0.12326729760066124,-8.951112491084189,2.3289729668433696,3.5285657320798514,2.304485190132101,5.1485732206457215e-05,0.007175355894062483,0.00047662769836080026,0.021831804743557053,0.003601016491234982,0.00047883747832633755,0.5064962962962963,0.9979007123014009,0.6197909172725591,0.05088520760508605
Pistachio_Image_Dataset_1_siirt 578,gaussian,noisy,sigma,0.03,frequency_domain,0.40526679825067286,32.62076197690552,0.46254678871418514,34.53028632248828,0.05727999046351229,1.90952434558276,2.3289729668433696,4.649486141420434,4.614146456986409,0.00046090747584145406,0.0214687558056226,0.0002660229626176545,0.016310210379319283,0.013360682680968627,0.0003523476406347647,0.44574722222222224,0.9989118731088472,0.12832201355691514,0.055204422865497996
Pistachio_Image_Dataset_1_siirt 578,gaussian,noisy,sigma,0.03,anscombe_naive,0.40526679825067286,32.62076197690552,0.5680535360932746,38.4932681427762,0.16278673784260173,5.872506165870682,2.3289729668433696,4.649486141420434,3.0961668753031724,0.00046090747584145406,0.0214687558056226,6.669370613662451e-05,0.00816662146402198,0.010736994954465867,0.00014147287708703575,0.4533064814814815,0.9997900406359471,0.1285579940816164,0.031006328848959226
Pistachio_Image_Dataset_1_siirt 578,gaussian,noisy,sigma,0.03,anscombe_exact,0.40526679825067286,32.62076197690552,0.20764398495407346,11.741506973782123,-0.1976228132965994,-20.879255003123397,2.3289729668433696,4.649486141420434,2.2397131893905,0.00046090747584145406,0.0214687558056226,6.669370613662451e-05,0.00816662146402198,0.2586474950679611,0.06696522041106759,0.0,0.9997900406359469,0.3785579940816164,0.2740977553457315
Pistachio_Image_Dataset_1_siirt 578,gaussian,noisy,sigma,0.03,median_clustering,0.40526679825067286,32.62076197690552,0.8698834484199272,39.126850779916765,0.4646166501692543,6.506088803011245,2.3289729668433696,4.649486141420434,3.420276115334142,0.00046090747584145406,0.0214687558056226,0.00011516494459577379,0.010731493120520266,0.005556566459992733,0.00012226859508227946,0.4895907407407407,0.999502129435902,0.441534606152073,0.04025730326573615
Pistachio_Image_Dataset_1_siirt 578,gaussian,noisy,sigma,0.03,log_gaussian,0.40526679825067286,32.62076197690552,0.9572143196004355,33.12201861045879,0.5519475213497627,0.5012566335532682,2.3289729668433696,4.649486141420434,2.4327521248341486,0.00046090747584145406,0.0214687558056226,0.00048650108996948,0.022056769708402,0.004950659512098902,0.00048730193842645437,0.5403990740740741,0.9978627295563914,0.646904431124083,0.052172069938488955
Pistachio_Image_Dataset_1_siirt 578,gaussian,very_noisy,sigma,0.06,frequency_domain,0.15345887389428026,26.679485989626354,0.20718866399786662,28.909563132423678,0.05372979010358636,2.230077142797324,2.3289729668433696,5.4029540405560805,5.345816159641576,0.0018092087320593232,0.04253479436954319,0.0009454283832703429,0.03074781916283402,0.02599979186052206,0.0012854159566152749,0.4511462962962963,0.9961072174642999,0.220485390103339,0.10399386895625978
Pistachio_Image_Dataset_1_siirt 578,gaussian,very_noisy,sigma,0.06,anscombe_naive,0.15345887389428026,26.679485989626354,0.34945545013421725,33.24278535693147,0.195996576239937,6.563299367305117,2.3289729668433696,5.4029540405560805,3.591412694795838,0.0018092087320593232,0.04253479436954319,0.00018684499296788728,0.013669125537790898,0.019990396248596946,0.00047393792666527204,0.4688351851851852,0.9995485097826009,0.22472911856342404,0.0447561369582246
Pistachio_Image_Dataset_1_siirt 578,gaussian,very_noisy,sigma,0.06,anscombe_exact,0.15345887389428026,26.679485989626354,0.20124007129283084,11.460230143432103,0.04778119739855058,-15.219255846194251,2.3289729668433696,5.4029540405560805,2.9115205489939404,0.0018092087320593232,0.04253479436954319,0.00018684499296788725,0.013669125537790896,0.2669438169754452,0.07144584641438788,0.0001537037037037037,0.999548509782601,0.47472911856342404,0.2889915392253282
Pistachio_Image_Dataset_1_siirt 578,gaussian,very_noisy,sigma,0.06,median_clustering,0.15345887389428026,26.679485989626354,0.6872824224794956,35.60929356175049,0.5338235485852153,8.929807572124137,2.3289729668433696,5.4029540405560805,4.106170493771995,0.0018092087320593232,0.04253479436954319,0.0002456492479828349,0.015673201586875442,0.00963845693548165,0.0002748341171314085,0.5024324074074074,0.998948007392065,0.43870047094075454,0.05396350224611329
Pistachio_Image_Dataset_1_siirt 578,gaussian,very_noisy,sigma,0.06,log_gaussian,0.15345887389428026,26.679485989626354,0.8941536360052736,32.60597414862297,0.7406947621109934,5.926488158996616,2.3289729668433696,5.4029540405560805,2.888256165572784,0.0018092087320593232,0.04253479436954319,0.0005486076686186139,0.02342237538377809,0.007217244938730462,0.0005487854459268493,0.5530277777777778,0.9976176179842913,0.612568951641038,0.058500790073377495
Pistachio_Image_Dataset_1_siirt 578,gaussian,extremely_noisy,sigma,0.12,frequency_domain,0.05922817773229098,20.85509463644869,0.09470866095765414,23.585626594181708,0.03548048322536316,2.7305319577330174,2.3289729668433696,6.160937488604366,6.06056741541339,0.006951012816078203,0.08337273424854316,0.0031146187816046295,0.05580876975534069,0.04955995952638016,0.004379629179166139,0.45377962962962964,0.9872245311083344,0.3885554115024293,0.18873061053693257
Pistachio_Image_Dataset_1_siirt 578,gaussian,extremely_noisy,sigma,0.12,anscombe_naive,0.05922817773229098,20.85509463644869,0.24169050297105407,27.755369528317537,0.1824623252387631,6.900274891868847,2.3289729668433696,6.160937488604366,4.293516853782053,0.006951012816078203,0.08337273424854316,0.000678389448819926,0.026045910404897083,0.03819601689737919,0.001676729661715798,0.4734703703703704,0.9989430790038115,0.37254671695834873,0.07212201768937913
Pistachio_Image_Dataset_1_siirt 578,gaussian,extremely_noisy,sigma,0.12,anscombe_exact,0.05922817773229098,20.85509463644869,0.1894441117057568,10.970458015074456,0.13021593397346584,-9.884636621374234,2.3289729668433696,6.160937488604366,3.6386417750335545,0.006951012816078203,0.08337273424854316,0.000678389448819926,0.026045910404897083,0.28159756905013195,0.07997499074399847,0.01158425925925926,0.9989430790038115,0.6225467169583487,0.31956330989991694
Pistachio_Image_Dataset_1_siirt 578,gaussian,extremely_noisy,sigma,0.12,median_clustering,0.05922817773229098,20.85509463644869,0.4353785788146644,30.674041297941894,0.3761504010823734,9.818946661493204,2.3289729668433696,6.160937488604366,4.8292681921063245,0.006951012816078203,0.08337273424854316,0.0007424891965024718,0.02724865494850107,0.01782862239927448,0.0008562407054013536,0.506462962962963,0.9968071251786361,0.40410828293582346,0.0924014712159743
Pistachio_Image_Dataset_1_siirt 578,gaussian,extremely_noisy,sigma,0.12,log_gaussian,0.05922817773229098,20.85509463644869,0.7305359432640897,30.892119311940927,0.6713077655317987,10.037024675492237,2.3289729668433696,6.160937488604366,3.601803520910231,0.006951012816078203,0.08337273424854316,0.0008130539969491269,0.02851410172088763,0.012378651454946214,0.0008143068137849936,0.5548787037037037,0.9967607198728861,0.6009519856251961,0.09310809140008654
Pistachio_Image_Dataset_1_siirt 578,poisson,little_noisy,peak,1024.0,frequency_domain,0.9261723139152616,37.69048991793242,0.9520938415348817,40.012390159253435,0.025921527619620188,2.3219002413210177,2.3289729668433696,2.3468190393183646,2.374734897681588,0.00017019635253488508,0.013045932413395567,9.971499332340057e-05,0.00998573949807427,0.0037503122992840064,9.971511261651224e-05,0.16969074074074075,0.9995605749863427,0.12606993086840346,0.0427425768526192
